Rel Name,from.type,from.name,from.revision,to.type,to.name,to.revision,Override Settings,Create Trigger,Modify Trigger,Delete Trigger
Classified Item,Document Family,05-标准件新增申请单,B89C1076000097EC5E58D30B00012355,ZTENEWYBWD,BZJ2021002,0,,,,
Classified Item,Document Family,02-试验策划与试验大纲,B89C10760000D0105E743CBC0000839C,ZTENEWXMWD,DOC-0003013,0,,,,
Classified Item,Document Family,2021B89C10760000C0885E59B1DA00000145,B89C10760000C0885E59B1DA00000145,ZTENEWTZD,P-05-0046-2021,0,,,,
Classified Item,Document Family,06-文件外发查阅借阅申请单,B89C1076000097EC5E58D30B00012355,ZTENEWYBWD,xxxx（年）xx（月）xx（流水号）,0,,,,
Classified Item,Document Family,专利申请,B89C107600003CE05B6ABB6100002ADB,Document,DOC-0000405,0,,,,
Classified Item,Document Family,2022第3季度,B89C1076000188E461D3A31400001D55,ZTENEWTZD,P-06-0484-2022,0,,,,
Classified Item,Document Family,2022第4季度,B89C1076000188E461D3A31400001D55,ZTENEWTZD,P-06-0633-2022,0,,,,
Classified Item,Document Family,2022B89C107600001210603CB78200015A44,B89C107600001210603CB78200015A44,ZTENEWTZD,P-TM-06-0046-2022,0,,,,
Classified Item,Document Family,2021B89C10760000C0885E59B1570000005F,B89C10760000C0885E59B1570000005F,ZTENEWTZD,P-24-0023-2021,0,,,,
Classified Item,Document Family,2021B89C10760000C0885E59B1DA00000145,B89C10760000C0885E59B1DA00000145,ZTENEWTZD,P-05-0048-2021,0,,,,
Classified Item,Document Family,2021B89C10760000C0885E59B1570000005F,B89C10760000C0885E59B1570000005F,ZTENEWTZD,P-24-0022-2021,0,,,,
Classified Item,Document Family,2022第1季度,B89C1076000188E461D3A31400001D55,ZTENEWTZD,P-06-0106-2022,0,,,,
Classified Item,Document Family,03-产品实施通知单,B89C1076000097EC5E58D2DF0001217C,Document,P-VD-24-0016-2020,0,,,,
Classified Item,Document Family,03-产品实施通知单,B89C1076000097EC5E58D2DF0001217C,Document,P-VD-24-0017-2020,0,,,,
Classified Item,Document Family,03-产品实施通知单,B89C1076000097EC5E58D2DF0001217C,Document,P-TM-24-0022-2020,0,,,,
Classified Item,Document Family,03-产品实施通知单,B89C1076000097EC5E58D2DF0001217C,Document,P-VD-24-0008-2020,0,,,,
Classified Item,Document Family,03-产品实施通知单,B89C1076000097EC5E58D2DF0001217C,Document,P-TM-24-0007-2020,0,,,,
Classified Item,Document Family,03-产品实施通知单,B89C1076000097EC5E58D2DF0001217C,Document,P-VD-24-0006-2020,0,,,,
Classified Item,Document Family,03-产品实施通知单,B89C1076000097EC5E58D2DF0001217C,Document,P-TM-24-0011-2020,0,,,,
Classified Item,Document Family,03-产品实施通知单,B89C1076000097EC5E58D2DF0001217C,Document,P-VD-24-0009-2020,0,,,,
Classified Item,Document Family,03-产品实施通知单,B89C1076000097EC5E58D2DF0001217C,Document,P-VD-24-0023-2020,0,,,,
Classified Item,Document Family,03-产品实施通知单,B89C1076000097EC5E58D2DF0001217C,Document,P-VD-24-0019-2020,0,,,,
Classified Item,Document Family,03-产品实施通知单,B89C1076000097EC5E58D2DF0001217C,Document,P-VD-24-0027-2020,0,,,,
Classified Item,Document Family,03-产品实施通知单,B89C1076000097EC5E58D2DF0001217C,Document,P-VD-24-0031-2020,0,,,,
Classified Item,Document Family,03-产品实施通知单,B89C1076000097EC5E58D2DF0001217C,Document,P-VD-24-0024-2020,0,,,,
Classified Item,Document Family,03-产品实施通知单,B89C1076000097EC5E58D2DF0001217C,Document,P-VD-24-0015-2020,0,,,,
Classified Item,Document Family,24-产品实施通知单,B89C1076000048F85B752065000014E1,Document,P-VD-24-0045-2020,0,,,,
Classified Item,Document Family,05-技术通知单,B89C1076000048F85B752065000014E1,Document,P-TM-05-0510-2019,0,,,,
Classified Item,Document Family,03-产品实施通知单,B89C1076000097EC5E58D2DF0001217C,Document,P-VD-24-0033-2020,0,,,,
